owasp_id,owasp_name,aisw_ids
OWASP A08,"Software and Data Integrity Failures","AISW-013"
OWASP API1,"Broken Object Level Authorization","AISW-001"
OWASP LLM01,"Prompt Injection","AISW-002"
OWASP LLM03,"Training Data Poisoning (by analogy to retrieval poisoning)","AISW-011"
OWASP LLM04,"Denial of Service","AISW-018"
OWASP LLM05,"Supply Chain Vulnerabilities","AISW-003; AISW-004"
OWASP LLM06,"Sensitive Information Disclosure","AISW-005; AISW-015"
OWASP LLM08,"Excessive Agency","AISW-002; AISW-008; AISW-010"
